rua,bairro,numero,cep,cidade,estado,pais
PB-057,Nao possui Bairro, 404,58270-000,Araçagi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Herodites Porpino,Clóvis Bezerra,62,58200-000,Guarabira,PB,Brasil
Tv. José Oliveira Madruga,São José,27,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
R. Dr. Nunes Filho,Bela Vista,64,58200-000,Guarabira,PB,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,465,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,95,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-075,Nao possui Bairro, 20,58208-000,Cuitegi,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Pref. Manoel Lordão,Esplanada,335,58200-000,Guarabira,PB,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,189,58200-000,Guarabira,PB,Brasil
KM 3 - PB-057,PB-057,3,58200-000,Guarabira,PB,Brasil
R. João Pímentel Filho,Centro,447,58200-000,Guarabira,PB,Brasil
Rua projetada Em frente ao campinho Monte das oliveiras 1,Nao possui Bairro, 1,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Esplanada,419,58200-000,Guarabira,PB,Brasil
Assentamento Santa Lúcia,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Nossa Sra. do Rosário,Nao possui Bairro, 181,58270-000,Araçagi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Luiz Porpino da Silva,Conj. Osmar de Aquino,681,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Luiz Porpino da Silva,Conj. Osmar de Aquino,681,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 1464,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Av. Dom Pedro II,Centro,537,58200-000,Guarabira,PB,Brasil
R. Adélia de França,Cordeiro,362,58200-000,Guarabira,PB,Brasil
R. José da Cunha Rego,Bairro Novo,764,58200-000,Guarabira,PB,Brasil
R. João Cosmo,Piloezinhos,46,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. John Kennedy,Bairro Novo,644,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Nao possui Bairro, 396,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Primavera,559,58200-000,Guarabira,PB,Brasil
R. São Manoel,Cordeiro,656,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. São Manoel,Bela Vista,155,58200-000,Guarabira,PB,Brasil
R. 13 de Maio,Nao possui Bairro, 228,58270-000,Araçagi,PB,Brasil
Rua projetada Em frente ao campinho Monte das oliveiras 1,Nao possui Bairro, 1,58200-000,Guarabira,PB,Brasil
Av. Feliciano Batista de Amorim,Bairro Novo,650,58200-000,Guarabira,PB,Brasil
Tv. Bela Vista,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Silvino Marcolino da Silva,Nao possui Bairro, 106,58270-000,Araçagi,PB,Brasil
R. Casa Branca,Cuitegi,672,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,730,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,326,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,770,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,272,58200-000,Guarabira,PB,Brasil
R. Ulisses De Menezes Freitas,Bairro Novo,42,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,1155,58200-000,Guarabira,PB,Brasil
Av. Olívio Maroja,Nao possui Bairro, 1015,58270-000,Araçagi,PB,Brasil
R. Francisco Marinho de Sousa,Cuitegi,138,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José Tomás dos Santos,Cuitegi,43,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Antônio Camelo de Melo,Nao possui Bairro, 63,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,123,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Av. Dom Pedro II,Centro,537,58200-000,Guarabira,PB,Brasil
R. João Alves de Olivério,Cordeiro,92,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Assis Chateaubriand,425,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Padre Geraldo Pinto,Primavera,56,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Celina Pinto,Nordeste,396,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Centro,94,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Av. Dep. José Rocha,Nao possui Bairro, 137,58270-000,Araçagi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,88,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,738,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Sabiniano Maia,Centro,20,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. John Kennedy,Bairro Novo,578,58200-000,Guarabira,PB,Brasil
R. Severino Paiva Rezende,Nordeste I,35,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 404,58270-000,Araçagi,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,738,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Amaro Guedes,Nordeste,517,58200-000,Guarabira,PB,Brasil
R. Tranquilo Xavier,Nao possui Bairro, 282,58200-000,Guarabira,PB,Brasil
R. Severino Paiva Rezende,Nordeste I,339,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Henrique Pacífico,Bela Vista,156,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Antonieta M Mendes,Santa Terezinha,106,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-073,Distrito Industrial,24,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Areia Branca,390,58200-000,Guarabira,PB,Brasil
R. São Severino,São José,55,58200-000,Guarabira,PB,Brasil
R. Eutália B.Carvalho,Nordeste,57,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 173,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 256,58208-000,Cuitegi,PB,Brasil
R. Belmira Barbosa Pontes,Bairro Novo,47,58200-000,Guarabira,PB,Brasil
R. São João,Nordeste,65,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Tv. Camilo de Holanda,Santa Terezinha,43,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 286,58200-000,Guarabira,PB,Brasil
5M69+X9 Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Araçagi,PB,Brasil
R. Jose P Mariz Pordeus,Nordeste I,128,58200-000,Guarabira,PB,Brasil
R. Pedro Batista,Nao possui Bairro, 19,58270-000,Araçagi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. José Luís de Oliveira,Bairro Novo,315,58200-000,Guarabira,PB,Brasil
R. Benjamin Frazalo,Nordeste,62,58200-000,Guarabira,PB,Brasil
R. Belmira Barbosa Pontes,Bairro Novo,47,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Luís Porpino da Silva,Areia Branco,100,58200-000,Guarabira,PB,Brasil
Rua José Américo,Nordeste,228,58200-000,Guarabira,PB,Brasil
R. José da Cunha Rego,Bairro Novo,826,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,730,58200-000,Guarabira,PB,Brasil
R. José Marinho de Lucena,Cuitegi,239,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-077,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Margarida M. Alves,Centro,30,58200-000,Guarabira,PB,Brasil
PB-077,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58354-000,Mulungu,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,730,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,730,58200-000,Guarabira,PB,Brasil
Av. Cacildes Toscano de Brito,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Celina Pinto,Nordeste,575,58200-000,Guarabira,PB,Brasil
R. Manoel Alvino de Moura,Nao possui Bairro, 46,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Hermenegildo Cunha,Nordeste II,176,58200-000,Guarabira,PB,Brasil
R. Ulisses de Menesses Freitas,Bairro Novo,42,58200-000,Guarabira,PB,Brasil
R. Projetada 1,Nao possui Bairro, 1,58270-000,Araçagi,PB,Brasil
R. Luzia Alexandre,Nao possui Bairro, 161,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
PB-057,Nao possui Bairro, 394,58270-000,Araçagi,PB,Brasil
R. Jose Americo Almeida,Nordeste II,360,58200-000,Guarabira,PB,Brasil
